名前,本名,ニックネーム,生年月日,没年月日,出身地,血液型,身長,方言,最終学歴,師匠,出身,active,activeend,公式サイト,YouTube,enta_id,office_id
片岡正徳,,,,,,,,,,,NSC東京校9期,1997/1/1,,,,,32
片岡鶴太郎,荻野繁雄 （おぎの しげお）,鶴ちゃん,1954/12/21,,東京都荒川区,O型,163 cm,東京弁,東京都立竹台高等学校卒業,片岡鶴八、隼ジュン,,1994/1/11,,http://kataoka-tsurutaro.com/,,98,98
片岡鶴八,片岡 保夫,,1917/7/7,1988/7/13,長野県上田市,,,,,8代目桂文楽,,2009/6/1,,,,,32
片桐仁,片桐 仁,ギリジン、仁ちゃん,1973/11/27,,埼玉県南埼玉郡宮代町,B型,176cm,共通語,多摩美術大学版画科,,,2013/1/1,,,https://www.youtube.com/channel/UCifAzjR7Q05jXZ05nNcIilQ,457,57
片野明隆,,,,,,,,,,,,2018/1/1,2019/1/1,,,,99
歩子,羽生 幸次郎（はぶ こうじろう）,,1976/8/19,,東京都練馬区,A型,170cm,,専修大学北海道短期大学,,札幌吉本オーディション,2006/1/1,2012/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=228,,32,32
豊 (お笑い芸人),,,1980/6/25,,埼玉県,O型,,,東京造形大学造形学部デザイン学科,,,2017/1/1,,http://www.maseki.co.jp/talent/detail?talent_id=28,,372,72
豊本明長,,とよもっちゃん,1975/6/6,,愛知県,A型,175 cm,共通語,中部大学春日丘高等学校,,スクールJCA3期,2019/1/14,2007/7/31,,,467,67
鳳啓助,小田 啓三,,1923/3/16,1994/8/8,,,,,,,,2009/1/1,,,,,35
坊屋三郎,石川博 柴田俊英,,1910/3/28,2002/5/25,,,,,,,,1968/1/1,2014/1/1,,,,43
房野史典,,,,,,,,,,,NSC名古屋校9期（吉村） NSC名古屋校11期（房野）,2008/1/1,2014/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=509,,306,6
望月リョーマ,,,,,,,,,,,NSC東京校9期,2020/1/1,,https://web.archive.org/web/20080207024646/http://ennichi.laff.jp/,,195,95
北京一,,,,,,,,,,,,2011/1/1,,,,87,87
北原雅樹,北原雅樹,,1976/7/15,,,B型,171 cm,,,,,1994/1/1,,,https://www.youtube.com/channel/UCq2U8BBZUuzc0wrc8THtXdw,,61
北口幹二彦,北口 光彦（読み同じ、旧芸名）,,1952/1/12,,大阪府,,,,,,,2017/1/1,,,,66,66
北代祐太,北代 祐太,きたぽよ,1988/11/10,,大阪NSC34期,A型,180cm,,大阪市立大学文学部,,和歌山県新宮市,2003/1/11,2008/1/17,,,,30
北野幹子,,,,,大阪府,,,,武庫川女子大学短期大学部卒業,ピンアップ敦子、前田五郎、内海桂子・内海好江,,1982/1/1,,,,,10
北野誠 (タレント),北野 誠,まこと、まこっちゃん、まこっさん　東新町の帝王,1959/1/25,,日本?大阪府大阪市城東区（現・鶴見区）,,171cm,大阪弁,京都産業大学経営学部,,,2017/1/18,,,,135,35
牧伸二,大井守常,マキシン,1934/9/26,2013/4/29,東京都目黒区,,,,東京中学校,牧野周一,,2016/1/12,,http://www.jap.co.jp/makishin/,,27,27
牧野ステテコ,牧野 朋子（まきの ともこ）,,1979/10/14,,富山県黒部市,O型,162 cm,,茨城大学人文学部卒業,,ワタナベコメディスクール1期,2016/4/1,,http://asaikikaku.co.jp/talent/profile/makinosuteteko,,89,89
堀口文宏,,,1974/9/25,,埼玉県坂戸市,O型,169cm,,越生高等学校（現・武蔵越生高等学校）卒業,,欽ちゃん劇団1期生（1991年）,2018/1/11,,,,319,19
堀幸代,,,,,,,,,,,NSC東京校13期,2018/1/1,,,,,34
堀川絵美,,,1983/11/5,,大阪府豊中市,,,関西弁など,梅花女子大学短期大学部卒業,,NSC大阪校33期,2018/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6652,,,51
堀田訓幸,堀田 訓幸（ほりた くにゆき）,,1970/8/24,,福岡県,O型,174cm,共通語,大東文化大学卒業,立川談志,,2018/1/12,,http://horocco.seesaa.net/,,65,65
堀内貴司,,,,,,,,,,,NSC東京校4期,2018/1/1,,,https://www.youtube.com/user/commanicenti,189,89
堀内健,堀内 健,ホリケン、健ちゃん,1969/11/28,,神奈川県横須賀市,B型,169cm,共通語,東京観光専門学校トラベル科,,現事務所のオーディション,2018/1/1,,https://www.watanabepro.co.jp/mypage/30000003/,,249,49
堀部雅人,堀部 雅人,,1979/10/24,,岐阜県岐阜市,B型,180cm,共通語,,,,2018/1/17,,,,,3
堀部圭亮,,,1966/3/25,,,O型,178cm,,,,,2018/1/12,,http://www.dongyu.co.jp/profile/KeisukeHoribe/,,,63
本多スイミングスクール,本多 将人,,1989/5/10,,愛媛県松山市,,169cm,,京都産業大学経営学部経営学科,,NSC大阪校34期,2019/1/1,,https://grapecom.jp/talent_writer/hondaswimmingschool/,,,63
本田みずほ,本田 美津保（旧姓）,,1973/4/22,,神奈川県相模原市,AB型,167 cm,共通語,神奈川県立上溝高等学校卒業,間寛平,,2019/1/1,,http://hondamizuho.com/,,260,60
本田らいだ?△,,,1979/3/7,,新潟県,,172cm,,,,ワタナベコメディスクール1期,2019/1/1,,https://www.watanabepro.co.jp/mypage/40000147/,,86,86
本日は晴天なり (お笑い芸人),栗田 育美（くりた いくみ）,晴天,1983/1/11,,静岡県清水市（現・静岡市清水区）,A型,173cm,,,,,2019/1/1,,https://www.ohtapro.co.jp/talent/honjituwaseitennari.html,,100,100
本坊元児,本坊 元児,,1978/8/7,,愛媛県松山市,O型,183cm,大阪弁,,,NSC大阪校20期,2019/1/1,,https://web.archive.org/web/20130709204057/http://honbou.laff.jp/,,340,40
槙尾ユウスケ,槙尾 祐介（読み同じ）,,1980/12/5,,広島県安芸郡坂町,B型,165cm,共通語,早稲田大学第一文学部卒業,,ギャグ大学偏差値2000（WAGEとして）,2016/1/18,,,,346,46
桝本コージ,桝本 浩二（ますもと こうじ）,,1978/5/23,,大阪府,O型,165cm,関西弁,,,,2017/1/1,,,,,85
又吉直樹,又吉 直樹,まったん、またきち、マッピー、大先生,1980/6/2,,大阪府寝屋川市,B型,164cm,大阪弁,,,NSC東京校5期,2017/1/1,,https://web.archive.org/web/20080208145412/http://matayoshi.laff.jp/,https://www.youtube.com/channel/UCXPu1w_qdV3BJgs3dej5bjQ,274,74
末成映薫,末成 由美,ゆみ姉,1947/3/1,,山口県宇部市,O型,158cm,大阪弁,,,,2019/1/1,,,,95,95
未知やすえ,内場 泰恵（うちば やすえ） （旧姓：城嶺）,やすえ姉さん えーちゃん やん やんやん,1963/8/7,,大阪府東大阪市,O型,155cm,大阪弁,大阪府立布施北高等学校卒業,,ポケットミュージカルス,2016/4/1,,,,130,30
箕輪はるか,箕輪 はるか,,1980/1/1,,東京都府中市[要出典],A型,160cm,標準語,早稲田大学第二文学部思想宗教系専修卒業,志村けん,NSC東京校9期,2017/1/1,,,,436,36
民秋貴也,民秋貴也,,1973/11/17,,京都市京都市,,175 cm,共通語、京都弁,,宮田たかし,,2003/1/1,2015/1/1,http://attohome.net/tamiaki.html,,,17
夢屋まさる,鈴木 優,夢ちゃん,1998/4/2,,,A型,175cm,,慶應義塾大学経済学部 在学,,,2018/1/1,,https://www.sunmusic-gp.co.jp/talent/yumeya_masaru/,,,94
夢大作,芦川 秀朗,,1944/10/20,,静岡県浜松市,,,,,,,2017/1/15,,,,,92
夢路いとし,篠原 博信,いとし先生,1925/3/27,2003/9/25,神奈川県横浜市鶴見区,,,東京式アクセントの関西弁,,,,2017/1/18,,,,10,10
無法松 (お笑い芸人),塩坂 倫之（しおさか のりゆき）,,1974/5/18,,熊本県八代市,A型,168cm,共通語,九州学院高等学校,ビートたけし,NSC大阪校12期,2018/1/1,,,,409,9
名倉潤,名倉 潤,リーダー、潤ちゃん,1968/11/4,,兵庫県姫路市,AB型,170cm,播州弁 共通語,,,,2003/1/1,,https://www.watanabepro.co.jp/mypage/30000002/,,204,4
名刀長塚,長塚 高志（ながつか たかし）,,1975/5/24,,茨城県,A型,173cm,,國學院大學文学部文学科,,,2019/1/1,,,,315,15
明石家さんま,杉本 高文（すぎもと たかふみ）,さんまちゃん さんちゃん お笑い怪獣 若,1955/7/1,,奈良県奈良市,B型,172 cm,関西弁,奈良県立奈良商業高等学校 （現・奈良県立奈良朱雀高等学校）,2代目笑福亭松之助,,1926/1/1,,,,101,1
明石寿々栄,鈴木（すずき） 登代子（とよこ）,,1932/8/24,2013/8/13,東京都中央区,,,,,5代目柳家小さん 5代目鈴々舎馬風,,2012/1/1,,,,,53
鳴呼拓三,松本 厚司,,1964/7/26,,,A型,181cm,,,,,2002/1/15,2008/1/18,http://www.geocities.co.jp/Hollywood-Studio/9881/index.html,,,48
茂木哲平,,,,,,,,,,,NSC東京校15期,2020/1/1,,https://web.archive.org/web/20111127044828/http://bkbkz.laff.jp/,,,93
毛利大亮,,,,,,,,,,,NSC大阪校21期（毛利） NSC大阪校22期（林）,2019/1/17,,https://profile.yoshimoto.co.jp/talent/detail?id=353,https://www.youtube.com/channel/UCCYV85V1cVZW2nBam1YIr9A/featured,37,37
木下華声,長谷川 栄太郎,,1911/7/6,1986/5/27,,,,,,2代目三遊亭金馬 5代目三升家小勝 江戸家猫八,,2018/1/17,,,,,27
木下隆行,,,1972/1/16,,大阪府,,183?cm (6?ft 0?in),,大阪府立食品産業高等学校 （現・大阪府立枚岡樟風高等学校）中退,,,1989/1/1,,https://www.u-tree.jp/,https://www.youtube.com/channel/UCzUesm6zQnC3Omt_SGC-M1A,337,37
木曽さんちゅう,林（はやし） 賢一（けんいち）,,1970/10/22,,兵庫県神戸市,A型,182cm,,,,,1996/1/1,2002/1/1,,,66,66
木村ひかり,,,,,,,,,,宮川大助・花子,,1961/1/1,1999/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=291,,287,87
木村耕介,,,,,,,,,,,松竹芸能タレントスクール11期生,2008/1/14,,,,192,92
木村進,木村 進,,1950/7/29,2019/5/19,,,,,,,,1967/1/1,,,,,66
木村卓寛,木村 卓寛,キムタク,1976/5/22,,兵庫県姫路市,B型,167cm,播州弁,姫路獨協大学法学部,,NSC大阪校21期,2000/1/1,,https://web.archive.org/web/20080721040725/http://kimutaku.laff.jp/index.html,,204,4
木村美穂,,,1973/11/15,,神奈川県,A型,,,洗足学園短期大学（現：洗足こども短期大学）音楽科卒業,,,1985/1/1,,,,407,7
木村祐一,西方祐一（旧姓木村）,キム、キム兄、キムキム兄やん,1963/2/9,,京都府京都市下京区,AB型,168cm,関西弁,京都市立西京商業高等学校卒業,,吉本興業の裏方,1999/1/14,2004/1/1,,,199,99
木村亮介,,,,,,,,,,,NSC大阪校31期,2018/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=5204,https://www.youtube.com/channel/UC5vL-KJjhiu241fobjYGRYA,,100
木津みずき,,,1980/9/4,,静岡県御殿場市,,,,,,,1973/1/1,2011/1/1,,,,26
木島さやか,,,1985/9/22,,大阪府,AB型,,,,,,2001/1/1,,,,,26
木尾陽平,,,,,,,,,,,NSC大阪校30期（吉田） NSC大阪校31期（木尾）,2001/1/1,2019/1/1,,,,54
木部信彦,木部 信彦,,1972/2/24,,大阪府摂津市,A型,172cm,大阪弁,専門学校卒業,,,2000/1/1,2018/1/1,https://web.archive.org/web/20080302002211/http://kibe.laff.jp/blog/,,50,50
木本武宏,,,1971/5/6,,大阪府大東市,A型,178cm,大阪弁,,,,2004/1/1,2015/1/1,,,333,33
木梨憲武,木梨 憲武,ノリさん、ノリちゃん,1962/3/9,,東京都世田谷区千歳台,O型,178 cm,,帝京高校,,お笑いスター誕生!!,1989/1/1,2009/1/1,,,139,39
木﨑太郎,,,,,,,,,,,NSC大阪校28期,2005/1/1,2014/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=2846,https://www.youtube.com/channel/UC9hGhPopyC3HcCp17cLXcig,,8
餅田コシヒカリ,持田 ひかり （もちだ ひかり）,もちこ,1994/4/18,,宮城県仙台市,A型,149cm,,,,松竹芸能タレントスクール東京校(25期),2020/1/1,,https://www.shochikugeino.co.jp/talents/kakenuketekeitora/,https://www.youtube.com/channel/UCeMmxzXKu_VlyFjsAMUC1dw,,36
門脇のりや,門脇宣也,,1985/8/24,,三重県四日市市,O型,172cm,三重弁,青山学院大学経営学部,,,2016/1/1,,https://sunmusic-gp.co.jp/,,249,49
門脇聡子,,,1984/9/26,,兵庫県多可郡,A型,159cm,関西弁,,,NSC大阪校26期 ワタナベコメディスクール14期,2016/1/1,,,,58,58
野村浩二,,,,,,,,,,,,2010/2/1,2010/10/1,http://com.horipro.co.jp/talent/江戸むらさき/index.html,,60,60
野村尚平,,,,,,,,,,,,2004/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2840,https://www.youtube.com/channel/UCEsfa1lyz4q4BsAR31RAcxw,,18
野村辰二,,,,,,,,,,,ワタナベコメディスクール6期,2016/1/1,,,,244,44
野沢直子,ナオコ・オークレアー,,1963/3/29,,東京都,B型,158cm,,東京農業大学第一高等学校,,,2008/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=720,,173,73
野田クリスタル,野田 光（のだ ひかる）,,1986/11/28,,神奈川県横浜市南区六ツ川,A型,178cm→179.7cm,標準語,神奈川県立六ツ川高等学校（現横浜国際高等学校）,モダンタイムス,インディーズ（地下）,1950/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=2773,,405,5
野田ちゃん,,,,,,,,,,,NSC大阪校17期（井上）,2016/1/18,,http://neet-project.com/profile/charming/index.html,,53,53
野々村友紀子,川谷 友紀子（かわたに ゆきこ）,,1974/8/5,,大阪府大阪市,O型,,,箕面学園高等学校卒業,,NSC大阪校11期,2016/1/16,2015/1/1,,,347,47
矢作兼,矢作 兼（読み同じ）,,1971/9/11,,東京都豊島区（出生地は山梨県）,A型,170cm,東京弁,東京都立北野高等学校 （現・東京都立板橋有徳高等学校）,,,2018/1/1,,http://www.p-jinriki.com/talent/ogiyahagi/,https://www.youtube.com/channel/UC5Mjg7-BzY896fGkDoLsejQ,445,45
矢部たかひろ,矢部 貴弘,,1984/6/18,,愛媛県今治市,,,,,,,2018/1/1,,,,456,56
矢部浩之,,やべっち,1971/10/23,,大阪府吹田市,A型,172 cm,大阪弁,大阪府立茨木西高等学校,,NSC大阪校9期,2018/1/11,,,,312,12
矢部太郎,矢部 太郎,,1977/6/30,,東京都東村山市,AB型,158cm,共通語,東京学芸大学教育学部除籍,,,2018/1/11,,,,98,98
矢部美幸,,,,,,,,,,,,2018/1/12,,,,,94
矢野号,矢野 絢也,,1985/12/4,,大阪府豊中市,,184cm,,大卒,,,2018/1/1,,,,225,25
矢野勝也,,,,,,,,,,,NSC大阪校9期,2018/1/1,,,,292,92
矢野正樹,,,,,,,,,,,,2018/1/1,,,,134,34
柳家金語楼,山下 敬太郎（やました けいたろう）,,1901/2/28,1972/10/22,東京府東京市,,,,,二代目三遊亭金馬 三代目柳家小さん 初代柳家三語楼,,2018/1/1,,,,,15
柳家三亀司,吉岡 司,,1953/4/28,,日本,,,,,柳家小三亀松,,2018/1/1,,http://mikijiyanagiya.web.fc2.com/,,,3
柳家三亀松,伊藤（いとう） 亀太郎（かめたろう）,,1901/9/1,1968/1/20,東京,,,,,桜川梅平 初代柳家三語楼,,2018/1/1,,,,,12
柳家三亀松 (2代目),町田 武,,1922/2/22,1998/8/19,東京都,,,,,初代柳家三亀松,,2018/1/1,,,,,39
柳家三亀坊,大橋 璋,,1900/6/11,1982/5/9,山口県萩市,,,,,初代柳家三語楼 立花家扇遊 初代柳家三亀松,,2018/1/1,,,,,24
柳家紫文,田島（たじま） 悟（さとし）,,1957/12/24,,群馬県高崎市,,,,,11代目岸澤式佐 2代目柳家紫朝,,2018/1/1,,http://www.yanagiyasimon.com/,,,16
柳家小半治,田代 藤太郎,,,,東京府東京市浅草区,,,,,3代目柳家小さん,,2018/1/1,,,,,8
柳月三郎,松野 俊實,,1936/10/13,,,,,,,先代鈴木正夫 菊池平三郎 5代目柳家小さん 5代目鈴々舎馬風,,2017/1/1,,,,,80
柳原可奈子,,かなちゃん、ヤギカナ、柳原ちゃん,1986/2/3,,東京都中野区,B型,153 cm,,専門学校東京アナウンス学院,,太田プロダクション直入,2018/1/1,,https://www.ohtapro.co.jp/talent/yanagiharakanako.html,,103,3
柳原哲也,,,,,,,,,,,,2018/1/1,,https://www.shochikugeino.co.jp/talents/01/post-0.html,,497,97
柳生玄十郎,,アメコミ侍、柳生先生、玄ちゃん,1976/7/27,,兵庫県,A型,,関西弁,,,,2017/1/1,,,,,63
柳憂怜,小野 昌彦,,1963/4/8,,,,170cm,,,,,2018/1/1,,,,,42
柳澤千夏,,,,,,,,,,,ワタナベコメディスクール14期（ちなてい） ワタナベコメディスクール18期（早川）,2018/1/1,,http://com.horipro.co.jp/talent/%E5%8D%B1%E9%99%BA%E7%89%A9%E3%81%A6%E3%81%83%E3%82%89%E3%81%A6%E3%81%83%E3%82%89/,,,26
優実子,,,,,東京都足立区,,,,,,,2017/1/13,,https://ameblo.jp/naru-yumiko/,,,99
友近,友近 由紀子（ともちか ゆきこ）,ともちーなど,1973/8/2,,愛媛県松山市,B型,157cm,伊予弁,松山東雲女子大学人文学部,,NSC大阪校23期,1998/1/1,2011/1/14,,,252,52
友池さん,友池 一彦（ともいけ かずひこ）,,1978/8/7,,大阪府吹田市,A型,,,大阪学院大学高等学校卒業,,,2012/1/1,,https://s.maho.jp/homepage/afe594fb98ba486e/,,421,21
友田安紀,,,1977/10/18,,東京都,O型,,,,,,2015/1/1,,,,,74
友保隼平,,,,,,,,,,,NSC大阪校29期,2015/1/1,2020/1/1,https://www.youtube.com/user/kobayashibat,,277,77
友野英俊,友野 英俊,,1971/8/9,,兵庫県姫路市,A型,,,,,,2002/1/15,2020/1/11,,,258,58
悠玄亭玉介,直井 厳,,1907/5/11,1994/5/4,東京,,,,,桂小文治 5代目三升家小勝 桜川玉七,,2017/1/1,,,,,34
有吉弘行,,,1974/5/31,,広島県安芸郡熊野町,A型,172 cm,,広島県立熊野高等学校,オール巨人（1992年12月弟子入り）,,2016/1/18,1976/1/1,https://www.ohtapro.co.jp/talent/ariyoshihiroiki.html,,410,10
有元さくら子,有元 桜子（ありもと さくらこ）,,2001/8/18,,東京都世田谷区,,170.8cm→ 172㎝,標準語,高校卒業,,,2001/1/1,,http://www.kdashstage.jp/profile/archives/101,,,80
有宗高志,,,,,,,,,,,NSC東京校16期,2016/1/18,2020/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=4409,,,51
有田哲平,有田 哲平,アリペイ、アリペー,1971/2/3,,熊本県 熊本市東区,不明,173cm,共通語 熊本弁,熊本県立済々黌高等学校卒業 （立教大学法学部中退）,コント山口君と竹田君,,2016/1/17,,https://naturaleight.co.jp/cream/,,311,11
有馬徹,,,,,,,,,,,NSC東京校15期,2007/1/1,,https://profile.yoshimoto.co.jp/talent/detail?id=6034,,,71
有野晋哉,,有野課長[注 1] 創造神[注 2],1972/2/25,,大阪府大阪市此花区,B型,180cm,大阪弁 共通語,大阪市立汎愛高等学校,,,2009/1/1,,,,315,15
由利徹,奥田 清治,由利ちゃん,1921/5/13,1999/5/20,宮城県石巻市,,,東北弁,,,,2018/1/1,,,,24,24
祐介,我島 祐介,ゆーくん、がっちゃん,1982/9/28,,日本,B型,165cm,大分弁,,（故）蔡志豪（チャイ・ズーハオ） ‐2000年,Wing1期生,1994/1/1,,,,106,6
祐介,我島 祐介,ゆーくん、がっちゃん,1982/9/28,,日本,B型,165cm,大分弁,,（故）蔡志豪（チャイ・ズーハオ） ‐2000年,Wing1期生,2017/1/1,,,,107,7
祐代朗功,,,1990/3/6,,,B,170,,,,,1994/1/1,,,,,68
夕乃,,,,,,,,,,,スクールJCA17期,2017/1/1,,http://www.p-jinriki.com/pc/talent/takeuchikeimai/,,,40
与座よしあき,與座 嘉秋（読み同じ）,,1976/10/1,,沖縄県沖縄市,O型,168cm,,日本映画学校俳優科,,日本映画学校,2018/1/1,,https://www.maseki.co.jp/talent/yozayoshiaki,,33,33
葉月パル,畔上 保彦（あぜがみ やすひこ）,,1960/8/24,,,,,,,,,2014/1/1,2019/1/1,,,,33
里見まさと,,,,,,,,,,タイヘイトリオ,,1995/1/1,2010/1/1,https://profile.yoshimoto.co.jp/talent/detail?id=031,,97,97
立花家橘之助 (2代目),茂木 康子,,1960/11/3,,東京都台東区,,,,,3代目三遊亭圓歌,,1991/1/1,2001/1/1,,,,34
立川只四楼,内藤（ないとう） 陽介（ようすけ）,,1979/6/18,,岩手県盛岡市,B型,175cm,共通語,,立川談四楼,NSC東京校8期,1937/1/1,2003/1/1,,,,26
立川談洲,大江（おおえ） 卓（すぐる）,,1987/10/14,,富山県射水市,,,,,立川談笑,,2019/1/1,,,,,48
流コウキ,松田 幸起,,1982/4/1,,,,180 cm,,,,,2004/1/17,2010/1/12,http://com.horipro.co.jp/talent/nagare_kouki/,,,64
溜口佑太朗,,,,,,,,,,,,2011/1/1,,http://ash-d.info/love.html,https://www.youtube.com/channel/UCQEvRjRH7GzM8X2jMIP429A,,38
龍勝,田村 裕之,,1980/10/18,,大阪府,,,共通語,,,,2017/1/1,,http://neet-project.com/profile/ryuusyou/,,,31
林家あずみ,正木 安曇,,1981/4/24,,京都府京都市,,,,,林家たい平,,1933/1/1,,,,,46
林家パー子,佐藤 粋子,,1948/8/13,,東京都,A型,,標準語,,初代 林家三平,,1937/1/1,1980/1/1,,,70,70
林家ペー,佐藤 嘉彦,,1941/11/29,,大阪府大阪市浪速区,B型,,東京弁,浪速高等学校,初代林家三平 林家たい平（落語家として）,,1937/7/1,,,,54,54
林家正楽,秋元（あきもと） 真（まこと）,,1948/1/17,1998/7/2,東京都目黒区,,,,,二代目林家正楽,,2017/1/1,,,,,38
林家二楽,山崎（やまざき） 義金（よしかね）,,1967/8/23,,埼玉県春日部市,,,,,2代目林家正楽,,2017/1/1,,http://www.geocities.co.jp/Hollywood-Stage/7833/,,,68
